sample,type,setting
MAE-33_13750gen_JEB839,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-05-19_Psomagen_Illumina/fastq/JEB839_{1|2}.fastq.gz
MAE-34_13750gen_JEB840,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB840_{1|2}.fastq.gz
MAE-35_13750gen_JEB841,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB841_{1|2}.fastq.gz
MAE-36_13750gen_JEB842,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB842_{1|2}.fastq.gz
MAE-37_13750gen_JEB843,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB843_{1|2}.fastq.gz
MAE-38_13750gen_JEB844,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB844_{1|2}.fastq.gz
MAE-39_13750gen_JEB845,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB845_{1|2}.fastq.gz
MAE-40_13750gen_JEB846,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB846_{1|2}.fastq.gz
MAE-41_13750gen_JEB847,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB847_{1|2}.fastq.gz
MAE-42_13750gen_JEB848,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB848_{1|2}.fastq.gz
MAE-42_13750gen_JEB848,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB849_{1|2}.fastq.gz
MAE-43_13750gen_JEB849,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-12-02_Psomagen_Illumina/fastq/JEB849_{1|2}.fastq.gz
MAE-44_13750gen_JEB850,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB850_{1|2}.fastq.gz
MAE-44_13750gen_JEB850,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-05-19_Psomagen_Illumina/fastq/JEB850_{1|2}.fastq.gz
MAE-45_13750gen_JEB851,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-08-07_SeqCenter_Illumina/fastq/JEB851_S422_R{1|2}_001.fastq.gz
